"Fecha cotización","Apertura","Cierre","Máxima","Mínima","Promedio","Cantidad","Monto","Fecha_a","Cierre_a"
"02/01/2012","2.47","2.45","2.47","2.45","2.47","6622","16344.45","30/12/2011","2.43"
"03/01/2012","2.45","2.45","2.45","2.45","2.45","10629","26041.05","02/01/2012","2.45"
"04/01/2012","2.47","2.47","2.47","2.47","2.47","1745","4307.65","03/01/2012","2.45"
"05/01/2012","2.47","2.47","2.47","2.47","2.47","2543","6278.63","04/01/2012","2.47"
"06/01/2012","2.47","2.47","2.47","2.47","2.47","11207","27681.29","05/01/2012","2.47"
"09/01/2012","2.5","2.52","2.52","2.5","2.51","38554","96708.4","06/01/2012","2.47"
"10/01/2012","2.55","2.55","2.55","2.55","2.55","3039","7739.14","09/01/2012","2.52"
"11/01/2012","2.45","2.6","2.6","2.45","2.56","35946","91951.04","10/01/2012","2.55"
"12/01/2012","2.55","2.55","2.55","2.55","2.55","4304","10972.2","11/01/2012","2.6"
"13/01/2012","2.55","2.55","2.55","2.55","2.55","2627","6688.75","12/01/2012","2.55"
"16/01/2012","2.5","2.5","2.5","2.5","2.5","3759","9397.5","13/01/2012","2.55"
"17/01/2012","2.55","2.53","2.55","2.53","2.54","26073","66291.35","16/01/2012","2.5"
"18/01/2012","2.53","2.5","2.53","2.5","2.51","19994","50092.22","17/01/2012","2.53"
"19/01/2012","2.47","2.5","2.5","2.47","2.48","11176","27747.1","18/01/2012","2.5"
"20/01/2012","2.45","2.45","2.45","2.45","2.45","5508","13494.6","19/01/2012","2.5"
"23/01/2012","2.55","2.6","2.6","2.55","2.56","12822","32843.6","20/01/2012","2.45"
"24/01/2012","2.6","2.6","2.63","2.6","2.61","12122","31624.45","23/01/2012","2.6"
"25/01/2012","2.62","2.62","2.62","2.62","2.57","3578","9210.02","24/01/2012","2.6"
"26/01/2012","2.53","2.53","2.53","2.53","2.53","5729","14482.81","25/01/2012","2.62"
"27/01/2012","2.53","2.5","2.53","2.5","2.51","9497","23821.97","26/01/2012","2.53"
"30/01/2012","2.59","2.55","2.6","2.53","2.57","17297","44483.31","27/01/2012","2.5"
"31/01/2012","2.56","2.5","2.56","2.5","2.55","22577","57582.5","30/01/2012","2.55"
"01/02/2012","2.5","2.55","2.55","2.5","2.55","17305","44050.1","31/01/2012","2.5"
"02/02/2012","2.6","2.56","2.6","2.56","2.58","5198","13390.84","01/02/2012","2.55"
"03/02/2012","2.57","2.6","2.68","2.57","2.61","61631","160554.82","02/02/2012","2.56"
"06/02/2012","2.58","2.58","2.58","2.58","2.58","9982","25726.9","03/02/2012","2.6"
"07/02/2012","2.6","2.55","2.6","2.55","2.58","7600","19630.2","06/02/2012","2.58"
"08/02/2012","2.55","2.58","2.58","2.55","2.56","7450","19056","07/02/2012","2.55"
"09/02/2012","2.58","2.58","2.58","2.58","2.58","3020","7790","08/02/2012","2.58"
"10/02/2012","2.53","2.48","2.53","2.48","2.5","22521","56263.9","09/02/2012","2.58"
"13/02/2012","2.45","2.35","2.45","2.35","2.39","80061","191522.35","10/02/2012","2.48"
"14/02/2012","2.4","2.4","2.4","2.4","2.4","19345","46405.37","13/02/2012","2.35"
"15/02/2012","2.4","2.4","2.4","2.4","2.4","15041","36065.13","14/02/2012","2.4"
"16/02/2012","2.4","2.4","2.4","2.35","2.39","10854","25893.34","15/02/2012","2.4"
"17/02/2012","2.4","2.4","2.4","2.4","2.4","13008","31168.94","16/02/2012","2.4"
"20/02/2012","2.4","2.4","2.4","2.4","2.4","2008","4819.2","17/02/2012","2.4"
"21/02/2012","2.45","2.45","2.45","2.45","2.45","2759","6759.55","20/02/2012","2.4"
"22/02/2012","2.4","2.4","2.4","2.4","2.4","3329","7989.6","21/02/2012","2.45"
"23/02/2012","2.43","2.4","2.43","2.4","2.42","5386","13011","22/02/2012","2.4"
"24/02/2012","2.4","2.4","2.4","2.4","2.4","3197","7672.8","23/02/2012","2.4"
"27/02/2012","2.4","2.4","2.4","2.4","2.4","4349","10439.28","24/02/2012","2.4"
"28/02/2012","2.45","2.45","2.45","2.4","2.41","27241","65756","27/02/2012","2.4"
"29/02/2012","2.4","2.39","2.4","2.39","2.39","5967","14289.48","28/02/2012","2.45"
"01/03/2012","2.39","2.37","2.39","2.37","2.38","13800","32886.59","29/02/2012","2.39"
"02/03/2012","2.37","2.36","2.37","2.34","2.35","64407","151483.22","01/03/2012","2.37"
"05/03/2012","2.4","2.4","2.4","2.4","2.4","7550","18116.35","02/03/2012","2.36"
"06/03/2012","2.33","2.4","2.4","2.33","2.36","7799","18433.11","05/03/2012","2.4"
"07/03/2012","2.4","2.36","2.4","2.36","2.37","13500","32000","06/03/2012","2.4"
"08/03/2012","2.36","2.36","2.36","2.36","2.36","3000","7080","07/03/2012","2.36"
"09/03/2012","2.36","2.3","2.36","2.3","2.34","42696","99844.34","08/03/2012","2.36"
"12/03/2012","2.3","2.3","2.3","2.3","2.3","16781","38596.3","09/03/2012","2.3"
"13/03/2012","2.3","2.31","2.35","2.3","2.33","79377","184871.11","12/03/2012","2.3"
"14/03/2012","2.3","2.35","2.35","2.3","2.31","7713","17835.05","13/03/2012","2.31"
"15/03/2012","2.35","2.3","2.35","2.3","2.32","8833","20493.65","14/03/2012","2.35"
"16/03/2012","2.35","2.35","2.35","2.35","2.34","4348","10189.05","15/03/2012","2.3"
"19/03/2012","2.35","2.35","2.35","2.35","2.35","10304","24216.07","16/03/2012","2.35"
"20/03/2012","2.35","2.35","2.35","2.35","2.35","5530","12995.5","19/03/2012","2.35"
"21/03/2012","2.3","2.33","2.33","2.3","2.33","12644","29411.62","20/03/2012","2.35"
"22/03/2012","2.33","2.25","2.33","2.25","2.26","21307","48180.75","21/03/2012","2.33"
"23/03/2012","2.2","2.2","2.2","2.2","2.2","35924","79032.8","22/03/2012","2.25"
"26/03/2012","2.2","2.1","2.2","2.1","2.11","77202","163098.2","23/03/2012","2.2"
"27/03/2012","2.2","2.2","2.2","2.2","2.2","15980","35155.02","26/03/2012","2.1"
"28/03/2012","2.16","2.25","2.25","2.16","2.19","20280","44436.59","27/03/2012","2.2"
"29/03/2012","2.15","2.15","2.15","2.15","2.15","5200","11180","28/03/2012","2.25"
"30/03/2012","2.17","2.18","2.18","2.17","2.18","13321","28977.54","29/03/2012","2.15"
"02/04/2012","2.25","2.25","2.25","2.25","2.25","9205","20711.25","30/03/2012","2.18"
"03/04/2012","2.29","2.29","2.3","2.23","2.28","47370","108059.51","02/04/2012","2.25"
"04/04/2012","2.2","2.2","2.2","2.2","2.2","7802","17176.85","03/04/2012","2.29"
"09/04/2012","2.25","2.26","2.26","2.25","2.25","25865","58240.25","04/04/2012","2.2"
"10/04/2012","2.2","2.2","2.2","2.2","2.2","15561","34234.2","09/04/2012","2.26"
"11/04/2012","2.2","2.25","2.25","2.2","2.24","12637","28301.4","10/04/2012","2.2"
"12/04/2012","2.25","2.25","2.25","2.25","2.24","6880","15408.3","11/04/2012","2.25"
"13/04/2012","2.25","2.25","2.25","2.25","2.25","5470","12307.5","12/04/2012","2.25"
"16/04/2012","2.32","2.25","2.32","2.25","2.28","20885","47647","13/04/2012","2.25"
"17/04/2012","2.25","2.3","2.3","2.25","2.29","15627","35736.2","16/04/2012","2.25"
"18/04/2012","2.3","2.3","2.3","2.3","2.3","10335","23766.35","17/04/2012","2.3"
"19/04/2012","2.3","2.25","2.3","2.25","2.28","4402","10035.2","18/04/2012","2.3"
"20/04/2012","2.25","2.25","2.25","2.25","2.25","25081","56378.13","19/04/2012","2.25"
"23/04/2012","2.25","2.25","2.25","2.25","2.25","3137","7058.25","20/04/2012","2.25"
"24/04/2012","2.25","2.25","2.25","2.25","2.24","3554","7954.34","23/04/2012","2.25"
"25/04/2012","2.21","2.2","2.21","2.2","2.2","13106","28863.2","24/04/2012","2.25"
"26/04/2012","2.24","2.11","2.24","2.11","2.14","30659","65656.41","25/04/2012","2.2"
"27/04/2012","2.15","2.12","2.15","2.12","2.13","17512","37331.57","26/04/2012","2.11"
"30/04/2012","2.12","2.1","2.12","2.1","2.11","10498","22122.3","27/04/2012","2.12"
"02/05/2012","2.06","2.1","2.1","2.05","2.07","9174","18949.46","30/04/2012","2.1"
"03/05/2012","2.1","2.05","2.1","2.05","2.06","22472","46217.6","02/05/2012","2.1"
"04/05/2012","2.05","2.05","2.05","2.05","2.05","4588","9405.4","03/05/2012","2.05"
"07/05/2012","2.1","2.1","2.1","2.1","2.1","11319","23737.94","04/05/2012","2.05"
"08/05/2012","2.1","2.1","2.1","2.1","2.1","5209","10930.3","07/05/2012","2.1"
"09/05/2012","2.08","2.05","2.08","2.05","2.07","25720","53263.45","08/05/2012","2.1"
"10/05/2012","2.05","2.05","2.05","2.05","2.05","76675","157185.58","09/05/2012","2.05"
"11/05/2012","2.1","2.1","2.1","2.1","2.08","3207","6674.35","10/05/2012","2.05"
"14/05/2012","2.04","2.03","2.04","2.03","2.04","10346","21085.38","11/05/2012","2.1"
"15/05/2012","2","2.02","2.05","2","2.01","58710","118236.01","14/05/2012","2.03"
"16/05/2012","2.02","2.01","2.02","2.01","2.01","7481","15054.1","15/05/2012","2.02"
"17/05/2012","2","2","2","2","2","5106","10209.1","16/05/2012","2.01"
"18/05/2012","1.9","1.91","1.91","1.9","1.91","18888","35994","17/05/2012","2"
"21/05/2012","1.93","1.95","1.95","1.93","1.95","20924","40753.1","18/05/2012","1.91"
"22/05/2012","1.97","2.05","2.05","1.97","1.99","28939","57564.79","21/05/2012","1.95"
"23/05/2012","2.05","2.09","2.09","2.05","2.07","11452","23676.6","22/05/2012","2.05"
"24/05/2012","2.09","2","2.09","2","2.04","48868","99597.54","23/05/2012","2.09"
"25/05/2012","2","2.05","2.05","2","2.04","9980","20336.25","24/05/2012","2"
"28/05/2012","2.1","2.1","2.1","2.1","2.1","5108","10726.8","25/05/2012","2.05"
"29/05/2012","2.15","2.15","2.15","2.1","2.13","51456","109712.45","28/05/2012","2.1"
"30/05/2012","2.17","2.2","2.2","2.17","2.18","13442","29339.13","29/05/2012","2.15"
"31/05/2012","2.25","2.25","2.25","2.25","2.26","13770","31115.68","30/05/2012","2.2"
"01/06/2012","2.25","2.25","2.25","2.25","2.25","12775","28743.75","31/05/2012","2.25"
"04/06/2012","2.15","2.25","2.25","2.15","2.21","8700","19205","01/06/2012","2.25"
"05/06/2012","2.25","2.24","2.25","2.24","2.23","7402","16489.3","04/06/2012","2.25"
"06/06/2012","2.2","2.2","2.2","2.2","2.2","8749","19247.8","05/06/2012","2.24"
"07/06/2012","2.2","2.2","2.2","2.2","2.2","4615","10164.22","06/06/2012","2.2"
"08/06/2012","2.2","2.2","2.2","2.2","2.19","4163","9104.1","07/06/2012","2.2"
"11/06/2012","2.2","2.2","2.2","2.2","2.2","15516","34083.6","08/06/2012","2.2"
"12/06/2012","2.18","2.18","2.18","2.18","2.17","2328","5048.8","11/06/2012","2.2"
"13/06/2012","2.16","2.16","2.16","2.16","2.16","2300","4968","12/06/2012","2.18"
"14/06/2012","2.03","2.02","2.03","2","2.02","120334","243115.9","13/06/2012","2.16"
"15/06/2012","2.01","2.01","2.02","1.98","2","44041","88257.28","14/06/2012","2.02"
"18/06/2012","2.05","2.05","2.05","2.05","2.05","5000","10249.2","15/06/2012","2.01"
"19/06/2012","2.04","2.05","2.05","2.04","2.04","10196","20806.41","18/06/2012","2.05"
"20/06/2012","2.07","2.07","2.07","2.07","2.06","4542","9336.08","19/06/2012","2.05"
"21/06/2012","2.07","2.05","2.07","2.05","2.05","9800","20100","20/06/2012","2.07"
"22/06/2012","2","2","2","2","2","25784","51568","21/06/2012","2.05"
"25/06/2012","1.95","2","2","1.95","1.97","51641","101522.26","22/06/2012","2"
"26/06/2012","2","2","2","2","2","2961","5922","25/06/2012","2"
"27/06/2012","2","2","2","2","1.99","4909","9782","26/06/2012","2"
"28/06/2012","2","2","2","2","2","2500","5000","27/06/2012","2"
"02/07/2012","2","2","2","2","2","12199","24398","28/06/2012","2"
"03/07/2012","2.05","2.05","2.05","2.05","2.05","8517","17459.85","02/07/2012","2"
"04/07/2012","2","2","2","2","2","19069","38131.12","03/07/2012","2.05"
"05/07/2012","2","2","2","2","2","4895","9790","04/07/2012","2"
"06/07/2012","2.05","2.06","2.06","2.05","2.05","150056","307864.8","05/07/2012","2"
"09/07/2012","2.08","2.1","2.1","2.08","2.09","36691","76866.72","06/07/2012","2.06"
"10/07/2012","2.1","2.1","2.12","2.1","2.11","75003","158029.46","09/07/2012","2.1"
"11/07/2012","2.1","2.1","2.1","2.1","2.1","5000","10500","10/07/2012","2.1"
"12/07/2012","2.09","2.1","2.1","2.09","2.09","5060","10554.14","11/07/2012","2.1"
"13/07/2012","2.1","2.1","2.1","2.1","2.09","3820","7969.18","12/07/2012","2.1"
"16/07/2012","2.08","2.08","2.08","2.08","2.08","2229","4636.32","13/07/2012","2.1"
"17/07/2012","2","2","2","2","1.99","5117","10200.64","16/07/2012","2.08"
"18/07/2012","2","2","2","2","2","2999","5998","17/07/2012","2"
"19/07/2012","2","2","2","2","2","1973","3946","18/07/2012","2"
"20/07/2012","2","2","2","2","2","3000","6000","19/07/2012","2"
"23/07/2012","2","2","2","2","2","3335","6670","20/07/2012","2"
"24/07/2012","2","2","2","2","2","7000","14000","23/07/2012","2"
"25/07/2012","2","2","2","2","2","4470","8940","24/07/2012","2"
"26/07/2012","2","2","2","2","2","8357","16714","25/07/2012","2"
"27/07/2012","2","2","2","2","2","2856","5712","26/07/2012","2"
"30/07/2012","2","1.94","2","1.94","1.98","11433","22692","27/07/2012","2"
"31/07/2012","2","2","2","2","1.98","4968","9820.77","30/07/2012","1.94"
"01/08/2012","2","2","2","2","2","6480","12960","31/07/2012","2"
"02/08/2012","2","2","2","2","2","10482","20961.84","01/08/2012","2"
"03/08/2012","2","2.05","2.05","2","2.02","27492","55397.87","02/08/2012","2"
"06/08/2012","2.05","2.05","2.05","2.05","2.05","2500","5125","03/08/2012","2.05"
"07/08/2012","2.09","2.05","2.09","2.05","2.07","5455","11274.75","06/08/2012","2.05"
"08/08/2012","2","2","2","2","2","10386","20772","07/08/2012","2.05"
"09/08/2012","2","2","2","2","2","5202","10404","08/08/2012","2"
"10/08/2012","2.09","2.1","2.1","2.09","2.09","18223","38073.4","09/08/2012","2"
"13/08/2012","2.05","2.05","2.05","2.05","2.05","3000","6150","10/08/2012","2.1"
"14/08/2012","2.05","2.1","2.1","2.05","2.09","16280","33969.2","13/08/2012","2.05"
"15/08/2012","2.1","2.1","2.1","2.1","2.1","3179","6671.86","14/08/2012","2.1"
"16/08/2012","2.03","2.1","2.1","2.03","2.07","12828","26509.24","15/08/2012","2.1"
"17/08/2012","2.08","2.15","2.15","2.08","2.12","12378","26186.96","16/08/2012","2.1"
"20/08/2012","2.18","2.18","2.18","2.18","2.18","6522","14217.3","17/08/2012","2.15"
"21/08/2012","2.16","2.16","2.16","2.16","2.16","5199","11229.84","20/08/2012","2.18"
"22/08/2012","2.16","2.16","2.16","2.16","2.16","6003","12966.54","21/08/2012","2.16"
"23/08/2012","2.12","2.12","2.12","2.12","2.12","4202","8908.24","22/08/2012","2.16"
"24/08/2012","2.05","2.05","2.05","2.05","2.05","9786","20061.3","23/08/2012","2.12"
"27/08/2012","2.05","2.05","2.05","2.05","2.05","4470","9163.5","24/08/2012","2.05"
"28/08/2012","2.05","2.05","2.05","2.05","2.05","3616","7412.8","27/08/2012","2.05"
"29/08/2012","2.05","2.05","2.05","2.05","2.05","2846","5834.3","28/08/2012","2.05"
"31/08/2012","2.05","2.13","2.13","2.05","2.1","15125","31737.21","29/08/2012","2.05"
"03/09/2012","2.12","2.13","2.13","2.12","2.1","6648","13934.93","31/08/2012","2.13"
"04/09/2012","2.1","2.1","2.1","2.1","2.1","2855","5995.5","03/09/2012","2.13"
"05/09/2012","2.09","2.09","2.09","2.09","2.09","1900","3971","04/09/2012","2.1"
"06/09/2012","2.09","2.09","2.09","2.09","2.06","7048","14517.34","05/09/2012","2.09"
"07/09/2012","2.09","2.09","2.09","2.09","2.08","3758","7833.04","06/09/2012","2.09"
"10/09/2012","2.09","2.09","2.09","2.09","2.08","4834","10038.23","07/09/2012","2.09"
"11/09/2012","2.09","2.09","2.09","2.09","2.08","3871","8055.55","10/09/2012","2.09"
"12/09/2012","2.09","2.09","2.09","2.09","2.09","4834","10079.42","11/09/2012","2.09"
"13/09/2012","2.11","2.15","2.15","2.11","2.13","5022","10715.98","12/09/2012","2.09"
"14/09/2012","2.15","2.15","2.15","2.15","2.15","31311","67318.65","13/09/2012","2.15"
"17/09/2012","2.15","2.15","2.15","2.15","2.13","4770","10140.9","14/09/2012","2.15"
"18/09/2012","2.1","2.1","2.1","2.1","2.1","2000","4200","17/09/2012","2.15"
"19/09/2012","2.03","2.03","2.03","2.03","2.03","10318","20939.37","18/09/2012","2.1"
"20/09/2012","2.03","2.03","2.03","2.03","2.02","3228","6535.77","19/09/2012","2.03"
"21/09/2012","2.05","2.05","2.05","2.05","2.06","7419","15286.51","20/09/2012","2.03"
"24/09/2012","2.05","2.05","2.05","2.05","2.05","15407","31545.75","21/09/2012","2.05"
"25/09/2012","2.05","2.05","2.05","2.05","2.04","2510","5120","24/09/2012","2.05"
"26/09/2012","2","2","2","2","2","12573","25146","25/09/2012","2.05"
"27/09/2012","2","2.01","2.01","2","2.01","25061","50270.46","26/09/2012","2"
"28/09/2012","2.05","2.05","2.05","2.05","2.04","7028","14339.22","27/09/2012","2.01"
"03/10/2012","2.05","2","2.05","2","2.03","17000","34448.62","28/09/2012","2.05"
"04/10/2012","2","1.96","2","1.96","1.98","6258","12364.48","03/10/2012","2"
"05/10/2012","1.96","1.96","1.96","1.96","1.96","3347","6560.12","04/10/2012","1.96"
"10/10/2012","1.96","1.96","1.96","1.96","1.96","15204","29773.29","05/10/2012","1.96"
"11/10/2012","2","2","2","2","1.99","3149","6266.32","10/10/2012","1.96"
"12/10/2012","2.03","2.04","2.04","2.03","2.03","12540","25435.81","11/10/2012","2"
"15/10/2012","2","2","2","2","1.99","4436","8845.84","12/10/2012","2.04"
"16/10/2012","2","2.05","2.05","2","2.02","25920","52455.45","15/10/2012","2"
"17/10/2012","2.06","2.1","2.1","2.06","2.07","20604","42685.99","16/10/2012","2.05"
"18/10/2012","2.1","2.14","2.14","2.1","2.12","26794","56798.6","17/10/2012","2.1"
"19/10/2012","2.14","2.14","2.14","2.14","2.14","2668","5709.52","18/10/2012","2.14"
"22/10/2012","2.1","2.16","2.16","2.1","2.13","13437","28635.56","19/10/2012","2.14"
"23/10/2012","2.1","2.1","2.1","2.1","2.1","14951","31397.1","22/10/2012","2.16"
"24/10/2012","2.1","2.1","2.1","2.1","2.09","4887","10193.35","23/10/2012","2.1"
"25/10/2012","2.05","2.05","2.05","2.05","2.05","4047","8296.35","24/10/2012","2.1"
"26/10/2012","2.08","2.1","2.1","2.07","2.09","24916","51984.46","25/10/2012","2.05"
"29/10/2012","2.09","2.1","2.1","2.09","2.09","5264","11003.5","26/10/2012","2.1"
"30/10/2012","2.15","2.15","2.15","2.15","2.15","3041","6538.15","29/10/2012","2.1"
"31/10/2012","2.15","2.15","2.15","2.15","2.15","2300","4945","30/10/2012","2.15"
"02/11/2012","2.1","2.1","2.1","2.1","2.1","2123","4458.3","31/10/2012","2.15"
"05/11/2012","2.1","2.13","2.13","2.1","2.12","9145","19423.95","02/11/2012","2.1"
"06/11/2012","2.03","2.1","2.1","2.03","2.04","57156","116591.43","05/11/2012","2.13"
"07/11/2012","2.1","2.1","2.1","2.1","2.1","2500","5250","06/11/2012","2.1"
"08/11/2012","2.1","2.1","2.1","2.1","2.1","11738","24649.8","07/11/2012","2.1"
"09/11/2012","2.08","2.08","2.08","2.03","2.06","10659","21999.92","08/11/2012","2.1"
"12/11/2012","2.08","2.08","2.08","2.08","2.08","3675","7638.18","09/11/2012","2.08"
"13/11/2012","2.08","2.08","2.08","2.08","2.08","5700","11856","12/11/2012","2.08"
"14/11/2012","2.1","2.08","2.1","2.08","2.08","54208","112965.18","13/11/2012","2.08"
"15/11/2012","2.05","2.05","2.05","2.05","2.05","5000","10250","14/11/2012","2.08"
"16/11/2012","2.07","2.07","2.07","2.07","2.07","6378","13176.8","15/11/2012","2.05"
"19/11/2012","2.07","2.1","2.1","2.07","2.07","25980","53868.6","16/11/2012","2.07"
"20/11/2012","2.1","2.1","2.1","2.1","2.1","9796","20550.33","19/11/2012","2.1"
"21/11/2012","2.08","2.09","2.09","2.08","2.08","7904","16426.68","20/11/2012","2.1"
"22/11/2012","2.05","2.05","2.05","2.05","2.05","8823","18087.15","21/11/2012","2.09"
"23/11/2012","2.08","2.05","2.08","2.05","2.06","6875","14146.21","22/11/2012","2.05"
"26/11/2012","2.04","2.05","2.05","2.04","2.04","6296","12852.51","23/11/2012","2.05"
"27/11/2012","2.04","2.05","2.05","2.04","2.04","13050","26685","26/11/2012","2.05"
"28/11/2012","2.05","2.05","2.05","2.05","2.05","38500","78924.47","27/11/2012","2.05"
"29/11/2012","2.05","2.05","2.05","2.05","2.05","7500","15365","28/11/2012","2.05"
"30/11/2012","2.04","2.04","2.04","2.04","2.03","11103","22589.17","29/11/2012","2.05"
"03/12/2012","2.04","2.1","2.1","2.04","2.06","20118","41438.77","30/11/2012","2.04"
"04/12/2012","2.15","2.15","2.15","2.13","2.15","209552","450310.46","03/12/2012","2.1"
"05/12/2012","2.13","2.15","2.15","2.13","2.14","7500","16065","04/12/2012","2.15"
"06/12/2012","2.15","2.1","2.15","2.1","2.11","29265","61883.5","05/12/2012","2.15"
"07/12/2012","2.1","2.1","2.1","2.1","2.1","5995","12589.5","06/12/2012","2.1"
"10/12/2012","2.05","2.05","2.05","2.05","2.05","11000","22550","07/12/2012","2.1"
"11/12/2012","2.03","2.05","2.05","2.03","2.04","13326","27131.46","10/12/2012","2.05"
"12/12/2012","2.05","2.1","2.1","2.05","2.08","10813","22463.5","11/12/2012","2.05"
"13/12/2012","2.1","2.1","2.1","2.1","2.1","3571","7495.55","12/12/2012","2.1"
"14/12/2012","2.09","2.09","2.09","2.09","2.09","12172","25439.48","13/12/2012","2.1"
"17/12/2012","2.09","2.09","2.09","2.09","2.09","5000","10450","14/12/2012","2.09"
"18/12/2012","2.2","2.3","2.31","2.2","2.3","1679673308","3863247294.2","17/12/2012","2.09"
"19/12/2012","2.25","2.25","2.25","2.25","2.25","2557","5751.25","18/12/2012","2.3"
"20/12/2012","2.25","2.3","2.3","2.25","2.27","28395","64465.6","19/12/2012","2.25"
"21/12/2012","2.3","2.3","2.3","2.3","2.3","10326","23729.6","20/12/2012","2.3"
"24/12/2012","2.33","2.33","2.33","2.33","2.33","9000","20970","21/12/2012","2.3"
"26/12/2012","2.33","2.33","2.33","2.33","2.33","3664","8537.12","24/12/2012","2.33"
"27/12/2012","2.33","2.34","2.34","2.33","2.33","23508","54799.62","26/12/2012","2.33"
"28/12/2012","2.34","2.4","2.4","2.34","2.38","67501","160604.16","27/12/2012","2.34"
"31/12/2012","2.4","2.45","2.45","2.4","2.44","10900","26570","28/12/2012","2.4"
"02/01/2013","2.47","2.47","2.47","2.47","2.47","4000","9880","31/12/2012","2.45"
"03/01/2013","2.4","2.4","2.4","2.4","2.4","15000","36000","02/01/2013","2.47"
"04/01/2013","2.3","2.3","2.3","2.3","2.3","6333","14565.9","03/01/2013","2.4"
"07/01/2013","2.29","2.26","2.29","2.26","2.26","24578","55644.12","04/01/2013","2.3"
"08/01/2013","2.26","2.47","2.47","2.26","2.38","48302","114721.79","07/01/2013","2.26"
"09/01/2013","2.47","2.37","2.47","2.37","2.41","18597","44732.8","08/01/2013","2.47"
"10/01/2013","2.38","2.38","2.38","2.38","2.38","2000","4760","09/01/2013","2.37"
"11/01/2013","2.38","2.35","2.38","2.35","2.37","7459","17702.74","10/01/2013","2.38"
"14/01/2013","2.35","2.35","2.35","2.35","2.35","9300","21845.95","11/01/2013","2.35"
"15/01/2013","2.34","2.35","2.35","2.34","2.35","30634","71909.88","14/01/2013","2.35"
"16/01/2013","2.35","2.38","2.38","2.35","2.36","9937","23487.54","15/01/2013","2.35"
"17/01/2013","2.45","2.45","2.45","2.45","2.45","4400","10789.69","16/01/2013","2.38"
"18/01/2013","2.45","2.52","2.52","2.45","2.5","19767","49392.1","17/01/2013","2.45"
"21/01/2013","2.55","2.55","2.55","2.55","2.55","37395","95352.54","18/01/2013","2.52"
"22/01/2013","2.6","2.69","2.69","2.6","2.65","32531","86054.66","21/01/2013","2.55"
"23/01/2013","2.69","2.75","2.75","2.69","2.7","19681","53181.89","22/01/2013","2.69"
"24/01/2013","2.8","2.8","2.8","2.75","2.79","10795","30126","23/01/2013","2.75"
"25/01/2013","2.8","2.7","2.81","2.7","2.79","15663","43693.03","24/01/2013","2.8"
"28/01/2013","2.6","2.7","2.7","2.6","2.64","17388","45845.1","25/01/2013","2.7"
"29/01/2013","2.7","2.7","2.7","2.7","2.69","7014","18836.4","28/01/2013","2.7"
"30/01/2013","2.7","2.69","2.7","2.69","2.7","13200","35608","29/01/2013","2.7"
"31/01/2013","2.69","2.7","2.7","2.69","2.69","33023","88983.87","30/01/2013","2.69"
"01/02/2013","2.75","2.81","2.82","2.75","2.78","23935","66449.03","31/01/2013","2.7"
"04/02/2013","2.8","2.79","2.8","2.79","2.8","4788","13388.52","01/02/2013","2.81"
"05/02/2013","2.77","2.79","2.79","2.77","2.75","8908","24479.2","04/02/2013","2.79"
"06/02/2013","2.79","2.79","2.79","2.75","2.78","18688","51939.52","05/02/2013","2.79"
"07/02/2013","2.79","2.79","2.79","2.79","2.79","2712","7566.48","06/02/2013","2.79"
"08/02/2013","2.7","2.69","2.7","2.69","2.7","17000","45874","07/02/2013","2.79"
"11/02/2013","2.69","2.69","2.69","2.69","2.69","5000","13450","08/02/2013","2.69"
"12/02/2013","2.57","2.66","2.66","2.57","2.6","9266","24131.6","11/02/2013","2.69"
"13/02/2013","2.6","2.64","2.64","2.6","2.62","4500","11778.52","12/02/2013","2.66"
"14/02/2013","2.66","2.66","2.66","2.66","2.66","5000","13300","13/02/2013","2.64"
"15/02/2013","2.64","2.7","2.7","2.64","2.66","26795","71229.28","14/02/2013","2.66"
"18/02/2013","2.69","2.7","2.7","2.69","2.69","5905","15909.8","15/02/2013","2.7"
"19/02/2013","2.7","2.7","2.7","2.7","2.7","1520","4102","18/02/2013","2.7"
"20/02/2013","2.6","2.6","2.6","2.6","2.6","40696","105809.6","19/02/2013","2.7"
"21/02/2013","2.6","2.6","2.6","2.6","2.6","4344","11294.4","20/02/2013","2.6"
"22/02/2013","2.59","2.59","2.59","2.59","2.59","3000","7770","21/02/2013","2.6"
"25/02/2013","2.5","2.5","2.5","2.5","2.49","5222","12980","22/02/2013","2.59"
"26/02/2013","2.5","2.5","2.5","2.5","2.5","5789","14472.5","25/02/2013","2.5"
"27/02/2013","2.5","2.5","2.5","2.5","2.5","3500","8750","26/02/2013","2.5"
"28/02/2013","2.5","2.5","2.5","2.5","2.49","4351","10827.4","27/02/2013","2.5"
"01/03/2013","2.5","2.4","2.5","2.4","2.44","7685","18757","28/02/2013","2.5"
"04/03/2013","2.4","2.4","2.4","2.4","2.4","4362","10468.8","01/03/2013","2.4"
"05/03/2013","2.45","2.45","2.45","2.45","2.44","9225","22545.64","04/03/2013","2.4"
"06/03/2013","2.45","2.45","2.45","2.45","2.45","5078","12421.05","05/03/2013","2.45"
"07/03/2013","2.45","2.4","2.45","2.38","2.4","26100","62690","06/03/2013","2.45"
"08/03/2013","2.35","2.35","2.35","2.35","2.35","11998","28195.3","07/03/2013","2.4"
"11/03/2013","2.35","2.3","2.35","2.3","2.32","8262","19151.4","08/03/2013","2.35"
"12/03/2013","2.35","2.2","2.35","2.2","2.22","88977","197369.5","11/03/2013","2.3"
